Geneid	NPYCT	NPYCU	NSNCH	NPYCW	NPYCX	NPYCZ	NPYCY	NPYGA	NPYGB
Glyma.01G016300.Wm82.a4.v1	3.10	2.92	3.58	4.38	5.10	3.98	4.64	5.84	2.12
Glyma.01G016400.Wm82.a4.v1	5.81	5.70	4.13	5.77	5.02	5.01	6.30	5.65	3.92
Glyma.01G016500.Wm82.a4.v1	0.46	0.54	0.40	0.04	0.14	0.16	0.26	0.37	0.02
Glyma.01G016600.Wm82.a4.v1	8.27	8.28	7.08	8.11	9.83	7.82	11.76	6.61	5.57
Glyma.01G016700.Wm82.a4.v1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Glyma.01G016800.Wm82.a4.v1	12.97	13.48	10.68	15.30	15.24	14.98	19.80	9.78	14.67
Glyma.01G016900.Wm82.a4.v1	9.48	8.42	8.92	9.25	8.92	7.50	8.08	8.93	8.48
Glyma.01G017000.Wm82.a4.v1	38.38	40.74	45.47	32.51	32.89	29.98	32.96	30.28	22.92
Glyma.01G017100.Wm82.a4.v1	44.47	45.51	45.27	38.84	43.73	38.35	38.97	43.25	21.43
Glyma.01G017150.Wm82.a4.v1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Glyma.01G017200.Wm82.a4.v1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Glyma.01G017300.Wm82.a4.v1	2.37	2.91	1.99	2.11	2.16	2.93	3.32	3.47	2.98
Glyma.01G017400.Wm82.a4.v1	4.03	2.85	4.43	5.80	4.40	5.06	6.63	4.63	5.70
Glyma.01G017700.Wm82.a4.v1	107.66	109.44	106.47	149.82	130.25	128.86	171.96	86.83	88.64
Glyma.01G017800.Wm82.a4.v1	7.07	10.85	8.99	8.24	8.05	7.59	8.50	7.55	11.42
Glyma.01G017900.Wm82.a4.v1	36.29	36.17	35.09	26.42	34.41	48.23	35.24	34.35	27.78
Glyma.01G018000.Wm82.a4.v1	7.21	6.82	5.97	13.69	10.45	23.24	29.90	4.39	9.15
Glyma.01G018100.Wm82.a4.v1	351.04	344.80	569.94	388.13	484.48	327.99	350.46	572.00	274.68
Glyma.01G018200.Wm82.a4.v1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.09	0.00
Glyma.01G018300.Wm82.a4.v1	5.61	4.65	4.84	5.19	4.44	3.72	4.29	4.39	5.36
Glyma.01G018400.Wm82.a4.v1	35.75	32.44	43.36	39.69	39.73	37.93	44.02	35.03	26.01
Glyma.01G018500.Wm82.a4.v1	0.00	0.00	0.11	0.00	0.00	0.00	0.00	0.00	0.00
Glyma.01G018600.Wm82.a4.v1	5.04	5.35	4.53	6.21	5.66	4.98	5.60	6.20	5.07
Glyma.01G018651.Wm82.a4.v1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Glyma.01G018700.Wm82.a4.v1	14.74	14.88	11.91	14.69	14.38	14.46	18.56	15.56	11.62
Glyma.01G018800.Wm82.a4.v1	22.68	19.26	30.23	31.03	25.49	25.49	24.12	29.59	24.57
Glyma.01G018900.Wm82.a4.v1	0.00	0.21	0.20	0.63	0.21	0.32	0.28	0.05	0.24
Glyma.01G019000.Wm82.a4.v1	17.87	14.72	14.13	19.70	21.88	17.38	22.44	18.15	13.72
Glyma.01G019100.Wm82.a4.v1	0.94	1.08	0.90	1.55	1.20	1.47	1.52	1.05	0.99
Glyma.01G019200.Wm82.a4.v1	190.44	189.98	170.22	157.74	152.85	176.71	174.67	145.75	92.16
Glyma.01G019300.Wm82.a4.v1	1.39	1.55	2.33	1.99	1.72	1.54	2.61	2.24	1.30
Glyma.01G019400.Wm82.a4.v1	46.29	47.23	51.90	65.32	55.22	51.18	69.13	46.07	49.78
Glyma.01G019500.Wm82.a4.v1	97.56	87.64	95.82	129.96	106.52	149.31	150.57	131.58	94.63
Glyma.01G019600.Wm82.a4.v1	4.20	4.06	5.28	7.13	4.54	5.43	6.77	4.78	2.60
Glyma.01G019700.Wm82.a4.v1	40.42	44.16	38.15	52.61	39.31	45.42	42.86	40.27	54.37
Glyma.01G019800.Wm82.a4.v1	260.52	241.20	227.76	221.03	255.03	245.25	308.47	190.47	133.83
Glyma.01G019900.Wm82.a4.v1	2.53	2.23	2.24	2.71	2.42	2.62	3.74	2.17	2.17
Glyma.01G020000.Wm82.a4.v1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Glyma.01G020100.Wm82.a4.v1	36.74	34.46	30.05	33.43	38.12	30.20	33.46	30.06	18.19
Glyma.01G020200.Wm82.a4.v1	15.81	15.73	16.73	16.92	18.81	15.94	14.34	19.67	30.02
Glyma.01G020300.Wm82.a4.v1	14.61	14.24	12.52	13.17	12.69	12.95	12.38	15.00	7.57
